,date,open,high,low,close
0,1994-11-03,0.88,0.88,0.88,0.88
1,1994-11-15,0.87,0.87,0.87,0.87
2,1994-11-16,0.87,0.87,0.87,0.87
3,1994-11-17,0.87,0.87,0.87,0.87
4,1994-11-22,0.9,0.93,0.9,0.92
5,1994-11-24,0.92,0.95,0.92,0.94
6,1994-11-25,0.94,0.94,0.94,0.94
7,1994-11-29,0.93,0.93,0.93,0.93
8,1994-12-05,0.91,0.92,0.91,0.92
9,1994-12-06,0.88,0.88,0.88,0.88
10,1994-12-08,0.96,0.96,0.96,0.96
11,1994-12-12,0.97,0.97,0.97,0.97
12,1994-12-14,0.89,0.89,0.89,0.89
13,1994-12-15,0.91,0.91,0.91,0.91
14,1994-12-20,0.95,0.95,0.95,0.95
15,1994-12-26,0.88,0.88,0.88,0.88
16,1994-12-27,0.86,0.86,0.81,0.81
17,1994-12-28,0.81,0.81,0.81,0.81
18,1994-12-29,0.82,0.82,0.82,0.82
19,1994-12-30,0.84,0.84,0.84,0.84
20,1995-01-02,0.84,0.84,0.84,0.84
21,1995-01-03,0.83,0.83,0.83,0.83
22,1995-01-09,0.83,0.83,0.83,0.83
23,1995-01-11,0.76,0.76,0.76,0.76
24,1995-01-13,0.76,0.76,0.76,0.76
25,1995-01-16,0.8,0.88,0.8,0.88
26,1995-01-17,0.86,0.86,0.86,0.86
27,1995-01-18,0.86,0.89,0.86,0.88
28,1995-01-19,0.86,0.87,0.86,0.87
29,1995-01-20,0.87,0.88,0.87,0.88
30,1995-01-25,0.82,0.92,0.82,0.92
31,1995-01-27,0.82,0.82,0.82,0.82
32,1995-01-30,0.8,0.8,0.8,0.8
33,1995-01-31,0.82,0.82,0.82,0.82
34,1995-02-01,0.82,0.82,0.82,0.82
35,1995-02-02,0.79,0.82,0.79,0.82
36,1995-02-03,0.82,0.82,0.82,0.82
37,1995-02-07,0.87,0.87,0.87,0.87
38,1995-02-08,0.88,0.88,0.88,0.88
39,1995-02-09,0.88,0.88,0.88,0.88
40,1995-02-13,0.86,0.86,0.86,0.86
41,1995-02-14,0.82,0.87,0.82,0.87
42,1995-02-15,0.89,0.93,0.89,0.93
43,1995-02-16,0.89,0.89,0.89,0.89
44,1995-02-17,0.88,0.89,0.88,0.89
45,1995-02-20,0.85,0.85,0.85,0.85
46,1995-02-21,0.89,0.89,0.82,0.82
47,1995-02-23,0.85,0.86,0.85,0.86
48,1995-02-24,0.85,0.86,0.85,0.86
49,1995-02-28,0.84,0.84,0.84,0.84
50,1995-03-01,0.81,0.84,0.81,0.84
51,1995-03-02,0.88,0.89,0.88,0.89
52,1995-03-07,0.93,0.93,0.93,0.93
53,1995-03-09,0.95,0.95,0.94,0.94
54,1995-03-10,0.96,0.98,0.96,0.98
55,1995-03-14,0.94,0.96,0.94,0.96
56,1995-03-15,0.94,0.98,0.94,0.98
57,1995-03-16,1.0,1.03,1.0,1.01
58,1995-03-17,1.04,1.04,0.98,0.98
59,1995-03-21,0.93,0.95,0.93,0.95
60,1995-03-22,0.97,0.97,0.97,0.97
61,1995-03-23,0.98,0.98,0.96,0.96
62,1995-03-27,0.97,0.97,0.97,0.97
63,1995-03-28,0.94,0.94,0.92,0.92
64,1995-03-29,0.94,0.94,0.94,0.94
65,1995-03-30,0.95,0.95,0.94,0.94
66,1995-03-31,0.92,0.92,0.92,0.92
67,1995-04-04,0.91,0.94,0.91,0.94
68,1995-04-05,0.97,0.98,0.97,0.98
69,1995-04-06,0.97,0.98,0.95,0.98
70,1995-04-07,0.97,0.98,0.97,0.97
71,1995-04-10,0.96,1.0,0.96,1.0
72,1995-04-11,0.99,0.99,0.99,0.99
73,1995-04-12,0.99,0.99,0.99,0.99
74,1995-04-17,1.01,1.01,1.0,1.0
75,1995-04-18,1.01,1.01,0.99,1.0
76,1995-04-19,1.0,1.02,1.0,1.02
77,1995-04-20,1.02,1.02,1.0,1.0
78,1995-04-21,1.02,1.02,1.02,1.02
79,1995-04-24,1.0,1.0,0.95,0.95
80,1995-04-25,0.96,0.96,0.96,0.96
81,1995-04-27,0.93,0.93,0.9,0.9
82,1995-04-28,0.88,0.88,0.83,0.83
83,1995-05-02,0.87,0.87,0.82,0.82
84,1995-05-03,0.83,0.88,0.83,0.86
85,1995-05-04,0.87,0.87,0.86,0.86
86,1995-05-05,0.9,0.96,0.9,0.96
87,1995-05-08,0.93,0.93,0.9,0.9
88,1995-05-09,0.91,0.92,0.91,0.92
89,1995-05-12,0.92,0.92,0.89,0.89
90,1995-05-15,0.88,0.9,0.88,0.9
91,1995-05-16,0.87,0.88,0.87,0.88
92,1995-05-17,0.88,0.88,0.88,0.88
93,1995-05-18,0.92,0.97,0.92,0.97
94,1995-05-19,0.97,1.0,0.97,1.0
95,1995-05-22,0.97,1.02,0.97,1.0
96,1995-05-23,1.02,1.02,0.98,0.98
97,1995-05-24,1.0,1.0,1.0,1.0
98,1995-05-25,1.0,1.0,1.0,1.0
99,1995-05-29,1.0,1.0,0.99,0.99
100,1995-05-30,0.97,0.99,0.97,0.99
101,1995-05-31,0.98,1.0,0.98,0.99
102,1995-06-01,0.99,0.99,0.99,0.99
103,1995-06-02,0.99,0.99,0.98,0.98
104,1995-06-05,1.0,1.0,0.99,1.0
105,1995-06-07,1.02,1.04,1.02,1.04
106,1995-06-08,1.01,1.02,1.01,1.02
107,1995-06-09,1.01,1.01,1.01,1.01
108,1995-06-12,1.0,1.0,1.0,1.0
109,1995-06-13,0.99,0.99,0.99,0.99
110,1995-06-15,0.96,0.97,0.96,0.97
111,1995-06-16,0.99,1.0,0.98,1.0
112,1995-06-19,0.98,0.99,0.98,0.99
113,1995-06-20,0.98,0.99,0.98,0.99
114,1995-06-21,0.99,1.0,0.99,1.0
115,1995-06-22,0.99,0.99,0.99,0.99
116,1995-06-23,1.0,1.0,1.0,1.0
117,1995-06-27,0.95,0.95,0.93,0.94
118,1995-06-28,0.93,0.94,0.93,0.94
119,1995-06-29,0.94,0.94,0.94,0.94
120,1995-07-03,0.92,0.93,0.89,0.89
121,1995-07-04,0.86,0.86,0.8,0.86
122,1995-07-05,0.83,0.85,0.83,0.83
123,1995-07-10,0.85,0.85,0.85,0.85
124,1995-07-11,0.89,0.89,0.86,0.87
125,1995-07-12,0.89,0.89,0.89,0.89
126,1995-07-13,0.88,0.88,0.88,0.88
127,1995-07-14,0.89,0.89,0.89,0.89
128,1995-07-17,0.9,0.92,0.9,0.92
129,1995-07-18,0.92,0.93,0.92,0.93
130,1995-07-19,0.88,0.91,0.88,0.91
131,1995-07-20,0.9,0.92,0.9,0.92
132,1995-07-21,0.9,0.91,0.9,0.91
133,1995-07-24,0.91,0.91,0.91,0.91
134,1995-07-25,0.88,0.92,0.88,0.91
135,1995-07-26,0.91,0.91,0.91,0.91
136,1995-07-31,0.86,0.86,0.86,0.86
137,1995-08-01,0.87,0.87,0.85,0.86
138,1995-08-02,0.88,0.88,0.88,0.88
139,1995-08-03,0.88,0.88,0.86,0.86
140,1995-08-04,0.87,0.87,0.87,0.87
141,1995-08-07,0.88,0.91,0.88,0.91
142,1995-08-08,0.88,0.88,0.88,0.88
143,1995-08-09,0.88,0.89,0.88,0.89
144,1995-08-11,0.89,0.89,0.89,0.89
145,1995-08-14,0.88,0.9,0.88,0.9
146,1995-08-16,0.91,0.91,0.91,0.91
147,1995-08-17,0.9,0.9,0.9,0.9
148,1995-08-18,0.9,0.9,0.9,0.9
149,1995-08-21,0.91,0.92,0.9,0.92
150,1995-08-22,0.91,0.92,0.91,0.92
151,1995-08-23,0.93,0.93,0.93,0.93
152,1995-08-24,0.93,0.93,0.92,0.92
153,1995-08-25,0.92,0.92,0.9,0.92
154,1995-08-28,0.88,0.93,0.88,0.93
155,1995-08-30,0.92,0.93,0.91,0.92
156,1995-08-31,0.93,0.93,0.93,0.93
157,1995-09-01,0.92,0.93,0.92,0.93
158,1995-09-07,0.89,0.89,0.89,0.89
159,1995-09-08,0.89,0.89,0.89,0.89
160,1995-09-12,0.91,0.91,0.89,0.9
161,1995-09-13,0.9,0.9,0.9,0.9
162,1995-09-14,0.9,0.9,0.9,0.9
163,1995-09-15,0.9,0.9,0.9,0.9
164,1995-09-18,0.9,0.9,0.9,0.9
165,1995-09-19,0.89,0.89,0.89,0.89
166,1995-09-20,0.89,0.89,0.89,0.89
167,1995-09-25,0.9,0.9,0.9,0.9
168,1995-09-27,0.9,0.9,0.9,0.9
169,1995-09-28,0.9,0.9,0.9,0.9
170,1995-09-29,0.9,0.9,0.9,0.9
171,1995-10-04,0.9,0.9,0.9,0.9
172,1995-10-05,0.9,0.92,0.9,0.92
173,1995-10-09,0.94,0.97,0.94,0.96
174,1995-10-10,0.96,1.0,0.92,0.92
175,1995-10-11,0.92,0.94,0.92,0.93
176,1995-10-12,0.93,0.93,0.91,0.91
177,1995-10-13,0.9,0.9,0.9,0.9
178,1995-10-16,0.9,0.91,0.9,0.91
179,1995-10-17,0.91,0.91,0.89,0.89
180,1995-10-18,0.9,0.91,0.89,0.9
181,1995-10-19,0.9,0.9,0.88,0.89
182,1995-10-20,0.86,0.89,0.86,0.89
183,1995-10-24,0.87,0.87,0.87,0.87
184,1995-10-25,0.89,0.89,0.89,0.89
185,1995-10-26,0.89,0.89,0.87,0.87
186,1995-10-27,0.87,0.87,0.87,0.87
187,1995-10-30,0.87,0.87,0.86,0.86
188,1995-10-31,0.85,0.86,0.85,0.85
189,1995-11-01,0.85,0.88,0.85,0.88
190,1995-11-02,0.88,0.88,0.86,0.87
