"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 02-Aug-2024"
"NIFTY 50","24,720.25","24,733.10","24,590.30","24,722.75","24,649.55","-","-73.20","-0.30","25,18,49,778","23,815.20","26,277.35","21,743.65","-3.19","-0.28"
"TITAN","3,356.30","3,443.00","3,348.00","3,356.30","3,424.00","-","67.70","2.02","8,37,335","285.13","3,867.00","2,925.00","-7.29","-1.28"
"INDUSINDBK","820.00","848.70","810.05","804.05","817.40","-","13.35","1.66","1,89,82,770","1,570.06","1,498.00","606.00","-4.33","-41.67"
"SBILIFE","1,833.30","1,860.40","1,818.70","1,831.50","1,860.00","-","28.50","1.56","12,51,783","231.37","1,936.00","1,372.55","3.18","6.42"
"MARUTI","12,400.00","12,577.00","12,370.00","12,365.00","12,543.00","-","178.00","1.44","2,33,560","292.25","13,541.65","10,725.00","-0.86","-1.49"
"COALINDIA","376.00","380.70","374.50","374.70","379.80","-","5.10","1.36","68,46,687","258.48","543.55","349.25","-1.71","-27.65"
"TRENT","5,245.00","5,356.00","5,200.00","5,249.00","5,320.00","-","71.00","1.35","9,76,873","517.66","8,345.00","4,488.00","-2.54","-3.99"
"EICHERMOT","5,625.00","5,690.00","5,584.50","5,621.00","5,684.00","-","63.00","1.12","4,58,305","258.62","5,906.50","4,508.75","0.92","20.19"
"BHARTIARTL","1,920.00","1,937.60","1,912.10","1,914.60","1,930.30","-","15.70","0.82","51,67,672","996.80","2,045.80","1,422.60","-4.23","29.32"
"BAJFINANCE","889.00","893.60","882.40","885.30","892.30","-","7.00","0.79","44,46,791","395.12","978.80","642.50","-3.61","-86.74"
"SHRIRAMFIN","630.50","633.20","621.15","624.90","629.00","-","4.10","0.66","39,96,694","250.53","730.45","493.35","-6.81","-78.94"
"SBIN","798.00","804.05","796.30","795.70","800.50","-","4.80","0.60","73,81,537","590.66","875.45","680.00","-1.39","-5.57"
"ULTRACEMCO","12,330.00","12,378.00","12,262.00","12,257.00","12,327.00","-","70.00","0.57","2,67,535","329.22","12,714.00","10,047.85","-1.66","4.53"
"TECHM","1,470.10","1,487.80","1,461.20","1,475.00","1,483.00","-","8.00","0.54","29,29,677","433.47","1,807.70","1,209.40","-10.26","-1.48"
"LT","3,630.00","3,657.70","3,608.30","3,631.10","3,650.00","-","18.90","0.52","11,58,433","421.41","3,963.50","2,965.30","1.61","-0.36"
"NTPC","332.45","334.35","331.30","332.00","333.65","-","1.65","0.50","98,55,535","327.87","448.45","292.80","-0.57","-20.51"
"HCLTECH","1,479.90","1,485.40","1,471.20","1,474.40","1,480.90","-","6.50","0.44","26,14,394","387.00","2,012.20","1,302.75","-14.09","-7.87"
"BAJAJFINSV","1,930.10","1,942.70","1,916.00","1,933.60","1,942.00","-","8.40","0.43","11,01,680","212.27","2,135.00","1,523.25","-2.76","19.46"
"BAJAJ-AUTO","8,176.00","8,236.50","8,130.00","8,187.50","8,221.00","-","33.50","0.41","1,94,083","158.91","12,774.00","7,089.35","-2.40","-14.41"
"M&M","3,195.00","3,222.00","3,170.10","3,200.20","3,213.00","-","12.80","0.40","18,05,644","577.58","3,303.00","2,425.00","1.57","16.82"
"KOTAKBANK","2,008.00","2,008.00","1,994.80","1,997.00","2,004.00","-","7.00","0.35","24,21,332","484.58","2,301.90","1,679.05","-5.95","11.06"
"AXISBANK","1,068.00","1,079.90","1,062.50","1,068.60","1,071.10","-","2.50","0.23","53,18,081","569.76","1,281.65","933.50","-9.07","-7.76"
"TATAMOTORS","655.95","658.90","650.55","653.60","655.00","-","1.40","0.21","67,14,804","439.25","1,142.00","535.75","-5.00","-40.31"
"GRASIM","2,799.00","2,824.90","2,784.70","2,787.80","2,792.70","-","4.90","0.18","7,82,631","219.26","2,896.00","2,276.95","-0.31","3.34"
"HEROMOTOCO","4,536.00","4,581.50","4,515.90","4,535.90","4,540.00","-","4.10","0.09","8,03,505","365.86","6,246.25","3,344.00","4.64","-13.79"
"TATASTEEL","159.56","160.14","158.28","159.56","159.45","-","-0.11","-0.07","1,44,41,034","230.16","170.18","122.62","-2.08","0.88"
"JSWSTEEL","1,059.00","1,063.40","1,048.70","1,055.90","1,054.10","-","-1.80","-0.17","15,24,968","160.62","1,074.90","854.15","1.15","17.10"
"ONGC","235.50","236.00","233.05","234.83","234.30","-","-0.53","-0.23","95,62,689","224.06","345.00","205.00","-4.39","-28.97"
"WIPRO","246.05","246.95","244.53","246.05","245.45","-","-0.60","-0.24","73,83,968","181.33","324.60","228.00","-8.94","-51.03"
"HINDALCO","692.00","692.00","682.15","687.70","685.85","-","-1.85","-0.27","33,02,614","226.85","772.65","546.45","-1.77","6.03"
"HDFCLIFE","735.80","742.25","731.65","739.80","737.65","-","-2.15","-0.29","19,88,095","146.37","820.75","584.30","-5.94","4.40"
"JIOFIN","334.45","338.60","331.50","333.90","332.60","-","-1.30","-0.39","1,60,52,991","537.41","363.00","198.65","2.43","2.02"
"HINDUNILVR","2,537.50","2,553.00","2,517.30","2,543.70","2,532.40","-","-11.30","-0.44","7,56,361","191.37","3,035.00","2,136.00","8.35","-5.86"
"TCS","3,074.40","3,077.50","3,042.00","3,074.40","3,060.00","-","-14.40","-0.47","19,27,996","589.57","4,592.25","2,991.60","-10.41","-28.46"
"HDFCBANK","1,986.50","1,994.40","1,965.50","1,992.00","1,981.00","-","-11.00","-0.55","1,19,89,029","2,368.55","2,037.70","1,593.30","-0.59","19.19"
"NESTLEIND","2,279.70","2,282.40","2,250.10","2,277.40","2,264.20","-","-13.20","-0.58","5,67,967","128.49","2,778.00","2,110.00","-5.24","-9.13"
"SUNPHARMA","1,640.90","1,644.60","1,620.10","1,641.60","1,631.90","-","-9.70","-0.59","16,22,897","264.48","1,960.35","1,553.05","-2.64","-5.75"
"ASIANPAINT","2,461.90","2,463.70","2,409.10","2,449.80","2,434.90","-","-14.90","-0.61","6,59,094","160.35","3,394.90","2,124.75","0.52","-21.56"
"APOLLOHOSP","7,312.00","7,342.00","7,235.50","7,308.00","7,260.00","-","-48.00","-0.66","2,82,791","205.90","7,635.00","6,001.00","-3.70","8.40"
"TATACONSUM","1,072.60","1,073.00","1,059.10","1,072.60","1,065.50","-","-7.10","-0.66","8,61,402","91.65","1,234.30","882.90","-2.30","-10.81"
"POWERGRID","287.10","288.65","285.10","287.95","285.90","-","-2.05","-0.71","1,55,61,914","445.79","366.25","247.30","-2.72","-20.17"
"ITC","417.20","417.95","413.00","416.85","413.80","-","-3.05","-0.73","84,95,104","351.98","528.50","390.15","0.39","-15.32"
"BEL","390.00","390.25","383.35","389.55","386.60","-","-2.95","-0.76","1,34,82,710","520.50","436.00","240.25","-9.57","27.63"
"DRREDDY","1,225.00","1,232.00","1,205.00","1,225.00","1,214.40","-","-10.60","-0.87","9,56,582","116.23","1,421.49","1,020.00","-7.08","-82.56"
"ETERNAL","306.90","307.60","301.70","305.25","301.95","-","-3.30","-1.08","1,48,20,256","449.69","314.45","194.80","15.59","-"
"ICICIBANK","1,453.00","1,461.50","1,441.00","1,463.20","1,445.00","-","-18.20","-1.24","1,47,99,343","2,139.63","1,500.00","1,153.00","0.11","20.71"
"CIPLA","1,513.50","1,517.30","1,491.10","1,515.10","1,496.30","-","-18.80","-1.24","11,56,528","173.61","1,702.05","1,335.00","-0.89","-1.90"
"ADANIENT","2,370.00","2,370.00","2,316.00","2,363.60","2,333.00","-","-30.60","-1.29","5,76,742","134.58","3,242.65","2,025.00","-10.42","-26.34"
