epoch,step,train_loss,val_acc,val_loss
0,49,4.0326032638549805,,
0,99,3.666105270385742,,
0,149,2.838151454925537,,
0,184,,0.0039100684225559235,5.148706912994385
1,199,2.956270694732666,,
1,249,2.3905038833618164,,
1,299,2.942091703414917,,
1,349,2.0989017486572266,,
1,369,,0.0029325513169169426,6.1287360191345215
2,399,2.012083053588867,,
2,449,2.3279895782470703,,
2,499,1.8032673597335815,,
2,549,2.223482370376587,,
2,554,,0.0009775171056389809,6.798044204711914
3,599,1.8964203596115112,,
3,649,1.7202951908111572,,
3,699,2.14286470413208,,
3,739,,0.0019550342112779617,6.988213539123535
4,749,1.6652346849441528,,
4,799,1.7762489318847656,,
4,849,1.6641672849655151,,
4,899,2.0077853202819824,,
4,924,,0.0019550342112779617,7.2499470710754395
5,949,1.9918497800827026,,
5,999,1.9760562181472778,,
5,1049,1.8512707948684692,,
5,1099,1.7482471466064453,,
5,1109,,0.0029325513169169426,7.413083553314209
6,1149,1.7255383729934692,,
6,1199,1.833906650543213,,
6,1249,1.447399616241455,,
6,1294,,0.0,7.508032321929932
7,1299,1.6286875009536743,,
7,1349,1.4076745510101318,,
7,1399,1.5123883485794067,,
7,1449,1.77200448513031,,
7,1479,,0.0,7.634319305419922
8,1499,1.5934276580810547,,
8,1549,1.500166654586792,,
8,1599,1.3808708190917969,,
8,1649,1.5930366516113281,,
8,1664,,0.0009775171056389809,7.725152969360352
9,1699,1.3905590772628784,,
9,1749,1.6770169734954834,,
9,1799,1.432449221611023,,
9,1849,1.5161335468292236,,
9,1849,,0.0009775171056389809,7.686374187469482
10,1899,1.468698263168335,,
10,1949,1.3646095991134644,,
10,1999,1.5345234870910645,,
10,2034,,0.0019550342112779617,7.697121620178223
11,2049,1.4158539772033691,,
11,2099,1.6927969455718994,,
11,2149,1.528183102607727,,
11,2199,1.3194169998168945,,
11,2219,,0.0009775171056389809,7.674498558044434
12,2249,1.230695366859436,,
12,2299,1.577162742614746,,
12,2349,1.271435022354126,,
12,2399,1.400630235671997,,
12,2404,,0.0009775171056389809,7.734236717224121
