Emoji,Unicode Name,Description
🌡️,Thermometer,fever
☕,Hot Beverage,breakfast beverage
☕,Hot Beverage,breakfast cereal
✈️,Airplane,airport
💡,Light Bulb,bulb
💡,Light Bulb,light bulb
💊,Pill,pill
💊,Pill,medical
😊,Smiling Face with Smiling Eyes,happy vibes
😊,Smiling Face with Smiling Eyes,happy mondays
😊,Smiling Face with Smiling Eyes,cool vibes
⚽,Soccer Ball,global popular sport
⚽,Soccer Ball,most popular sport
⚽,Soccer Ball,global extreme sport
🔋,Battery,battery
🥪,Sandwich,cold sandwich
🥪,Sandwich,pork sandwich
🥪,Sandwich,cheese sandwich
🥪,Sandwich,sandwich
⌚,Watch,wear
🖼️,Framed Picture,framed art
🖼️,Framed Picture,visual art
🖼️,Framed Picture,fine art
🖼️,Framed Picture,art
😍,Smiling Face with Heart-Eyes,loving it
😍,Smiling Face with Heart-Eyes,face with hearts
😍,Smiling Face with Heart-Eyes,loving hearts
🔑,Key,metal key
🔑,Key,encryption key
🔑,Key,key
📡,Satellite Antenna,dish
📡,Satellite Antenna,antenna
❄️,Snowflake,crystal
🏀,Basketball,jersey
🎾,Tennis,slam
🎾,Tennis,tennis racket
🌡️,Thermometer,mercury or digital
🙏,Folded Hands,gratitude
🔭,Telescope,telescope
💡,Light Bulb,symbol of creativity
💡,Light Bulb,symbolizing creativity
💡,Light Bulb,festival of creativity
📏,Straight Ruler,measuring length
📏,Straight Ruler,length
❤️,Red Heart,love you forever
❤️,Red Heart,loving you forever
❤️,Red Heart,love is forever
❤️,Red Heart,thank you forever
📑,Bookmark Tabs,reading
🕰️,Mantelpiece Clock,ticking clock
🕰️,Mantelpiece Clock,countdown clock
🕰️,Mantelpiece Clock,cuckoo clock
🕰️,Mantelpiece Clock,clock
⌚,Watch,watch
⌚,Watch,time
😴,Sleeping Face,snoring face
😴,Sleeping Face,snoring noises
💡,Light Bulb,electric glass bulb
💡,Light Bulb,cast glass bulb
💡,Light Bulb,electric glassware
💡,Light Bulb,electric electric bulb
✈️,Airplane,jet plane
✈️,Airplane,projective plane
✈️,Airplane,jetliner
🗺️,World Map,borders
🖋️,Fountain Pen,metal nib
🖋️,Fountain Pen,see nib
🚂,Locomotive,freight and passengers
